Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.45475781085e+005,-1.48953186181e+002
+1.48095763705e+005,-1.49587139620e+002
+1.50762931560e+005,-1.49311341902e+002
+1.53478134445e+005,-1.49820924599e+002
+1.56242237458e+005,-1.49657970978e+002
+1.59056121278e+005,-1.48539994259e+002
+1.61920682446e+005,-1.45330450734e+002
+1.64836833648e+005,-1.48054051083e+002
+1.67805504007e+005,-1.47060210210e+002
+1.70827639381e+005,-1.31591895169e+002
+1.73904202661e+005,-1.24551703668e+002
+1.77036174080e+005,-1.32293876229e+002
+1.80224551525e+005,-1.49026274716e+002
+1.83470350855e+005,-1.46001677884e+002
+1.86774606222e+005,-1.47516725870e+002
+1.90138370407e+005,-1.50032594786e+002
+1.93562715148e+005,-1.49972916260e+002
+1.97048731486e+005,-1.49954229606e+002
+2.00597530110e+005,-1.49911419125e+002
+2.04210241715e+005,-1.46155777477e+002
+2.07888017356e+005,-1.47394747561e+002
+2.11632028822e+005,-1.48475562886e+002
+2.15443469003e+005,-1.29100739865e+002
+2.19323552273e+005,-1.28569047049e+002
+2.23273514878e+005,-1.49429889529e+002
+2.27294615326e+005,-1.46131213884e+002
+2.31388134792e+005,-1.49765854096e+002
+2.35555377526e+005,-1.50342395842e+002
+2.39797671264e+005,-1.50271810024e+002
+2.44116367658e+005,-1.50478086502e+002
+2.48512842698e+005,-1.46192550654e+002
+2.52988497160e+005,-1.49562067399e+002
+2.57544757045e+005,-1.29066319077e+002
+2.62183074038e+005,-1.27894958987e+002
+2.66904925965e+005,-1.49230532235e+002
+2.71711817270e+005,-1.46441919507e+002
+2.76605279492e+005,-1.50798133852e+002
+2.81586871751e+005,-1.50494480388e+002
+2.86658181246e+005,-1.51029442125e+002
+2.91820823764e+005,-1.47262746467e+002
+2.97076444190e+005,-1.48240091386e+002
+3.02426717031e+005,-1.26110029691e+002
+3.07873346955e+005,-1.31379452881e+002
+3.13418069329e+005,-1.48194118375e+002
+3.19062650773e+005,-1.49851754479e+002
+3.24808889724e+005,-1.51117378735e+002
+3.30658617009e+005,-1.51189791641e+002
+3.36613696427e+005,-1.48189376782e+002
+3.42676025343e+005,-1.32315742756e+002
+3.48847535295e+005,-1.27457044652e+002
+3.55130192606e+005,-1.49567187502e+002
+3.61525999011e+005,-1.49124340250e+002
+3.68036992298e+005,-1.51391524248e+002
+3.74665246955e+005,-1.50772188280e+002
+3.81412874828e+005,-1.48671476391e+002
+3.88282025801e+005,-1.27951188732e+002
+3.95274888473e+005,-1.38069716073e+002
+4.02393690862e+005,-1.47600143729e+002
+4.09640701111e+005,-1.51927793741e+002
+4.17018228212e+005,-1.51707378978e+002
+4.24528622739e+005,-1.48537217775e+002
+4.32174277604e+005,-1.27808766507e+002
+4.39957628810e+005,-1.41905505918e+002
+4.47881156235e+005,-1.48979573510e+002
+4.55947384417e+005,-1.52272050536e+002
+4.64158883361e+005,-1.48806580460e+002
+4.72518269359e+005,-1.36175462633e+002
+4.81028205818e+005,-1.29441590686e+002
+4.89691404115e+005,-1.49463385234e+002
+4.98510624459e+005,-1.52265980623e+002
+5.07488676766e+005,-1.49231468094e+002
+5.16628421561e+005,-1.29645272025e+002
+5.25932770886e+005,-1.36734527596e+002
+5.35404689227e+005,-1.50283238922e+002
+5.45047194461e+005,-1.51642571233e+002
+5.54863358815e+005,-1.48573889854e+002
+5.64856309846e+005,-1.28768958491e+002
+5.75029231439e+005,-1.49132952602e+002
+5.85385364818e+005,-1.51831631427e+002
+5.95928009583e+005,-1.49496832984e+002
+6.06660524757e+005,-1.28568004023e+002
+6.17586329859e+005,-1.49564967445e+002
+6.28708905992e+005,-1.52937529998e+002
+6.40031796953e+005,-1.50155709490e+002
+6.51558610364e+005,-1.29276717229e+002
+6.63293018816e+005,-1.50184181986e+002
+6.75238761044e+005,-1.52810447588e+002
+6.87399643118e+005,-1.34716513565e+002
+6.99779539652e+005,-1.31369210902e+002
+7.12382395042e+005,-1.52087869833e+002
+7.25212224722e+005,-1.50336073575e+002
+7.38273116442e+005,-1.29922948252e+002
+7.51569231572e+005,-1.50714033122e+002
+7.65104806427e+005,-1.51207954513e+002
+7.78884153618e+005,-1.30501230023e+002
+7.92911663423e+005,-1.35896812913e+002
+8.07191805189e+005,-1.37230644235e+002
+8.21729128755e+005,-1.32898631493e+002
+8.36528265901e+005,-1.37084152708e+002
+8.51593931825e+005,-1.36044515241e+002
+8.66930926644e+005,-1.32977897371e+002
+8.82544136923e+005,-1.38210115682e+002
+8.98438537235e+005,-1.35016427352e+002
+9.14619191741e+005,-1.33308387854e+002
+9.31091255809e+005,-1.39114495457e+002
+9.47859977652e+005,-1.34272666384e+002
+9.64930700003e+005,-1.33939715721e+002
+9.82308861817e+005,-1.39428439428e+002
+1.00000000000e+006,-1.34243189482e+002
