Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.35451227700e+005,-1.48374101823e+002
+1.37890670608e+005,-1.48597356518e+002
+1.40374047276e+005,-1.49032389773e+002
+1.42902148939e+005,-1.49045051729e+002
+1.45475781085e+005,-1.49403426670e+002
+1.48095763705e+005,-1.49736087497e+002
+1.50762931560e+005,-1.49522548539e+002
+1.53478134445e+005,-1.49999277922e+002
+1.56242237458e+005,-1.49913563762e+002
+1.59056121278e+005,-1.50368715246e+002
+1.61920682446e+005,-1.50270766206e+002
+1.64836833648e+005,-1.50581143392e+002
+1.67805504007e+005,-1.50417788675e+002
+1.70827639381e+005,-1.32565519966e+002
+1.73904202661e+005,-1.25538730281e+002
+1.77036174080e+005,-1.33235719888e+002
+1.80224551525e+005,-1.51228750448e+002
+1.83470350855e+005,-1.51297911359e+002
+1.86774606222e+005,-1.51182002113e+002
+1.90138370407e+005,-1.51575310435e+002
+1.93562715148e+005,-1.51696593915e+002
+1.97048731486e+005,-1.51734615316e+002
+2.00597530110e+005,-1.52079536356e+002
+2.04210241715e+005,-1.51902097824e+002
+2.07888017356e+005,-1.51607664455e+002
+2.11632028822e+005,-1.52294015925e+002
+2.15443469003e+005,-1.31074023704e+002
+2.19323552273e+005,-1.30533137746e+002
+2.23273514878e+005,-1.52829289124e+002
+2.27294615326e+005,-1.53048619370e+002
+2.31388134792e+005,-1.53152909689e+002
+2.35555377526e+005,-1.52783491182e+002
+2.39797671264e+005,-1.52738338396e+002
+2.44116367658e+005,-1.53814391430e+002
+2.48512842698e+005,-1.53114528530e+002
+2.52988497160e+005,-1.53297755680e+002
+2.57544757045e+005,-1.31291701662e+002
+2.62183074038e+005,-1.30108013799e+002
+2.66904925965e+005,-1.54353490889e+002
+2.71711817270e+005,-1.53975239874e+002
+2.76605279492e+005,-1.54451134205e+002
+2.81586871751e+005,-1.52408355990e+002
+2.86658181246e+005,-1.54699241498e+002
+2.91820823764e+005,-1.55009284375e+002
+2.97076444190e+005,-1.53887487556e+002
+3.02426717031e+005,-1.28344467197e+002
+3.07873346955e+005,-1.33582313186e+002
+3.13418069329e+005,-1.55275112124e+002
+3.19062650773e+005,-1.55538594967e+002
+3.24808889724e+005,-1.55763267225e+002
+3.30658617009e+005,-1.55913264149e+002
+3.36613696427e+005,-1.56223557666e+002
+3.42676025343e+005,-1.34495057725e+002
+3.48847535295e+005,-1.29611874941e+002
+3.55130192606e+005,-1.56154994527e+002
+3.61525999011e+005,-1.56652202064e+002
+3.68036992298e+005,-1.56427309712e+002
+3.74665246955e+005,-1.57063698635e+002
+3.81412874828e+005,-1.56462370008e+002
+3.88282025801e+005,-1.29975550698e+002
+3.95274888473e+005,-1.40060071204e+002
+4.02393690862e+005,-1.57148836205e+002
+4.09640701111e+005,-1.57570054387e+002
+4.17018228212e+005,-1.57705695218e+002
+4.24528622739e+005,-1.58141159041e+002
+4.32174277604e+005,-1.29861818413e+002
+4.39957628810e+005,-1.44053090378e+002
+4.47881156235e+005,-1.58283235091e+002
+4.55947384417e+005,-1.59102587539e+002
+4.64158883361e+005,-1.58632857921e+002
+4.72518269359e+005,-1.37822803576e+002
+4.81028205818e+005,-1.31130714016e+002
+4.89691404115e+005,-1.59347474578e+002
+4.98510624459e+005,-1.58692717986e+002
+5.07488676766e+005,-1.59699141205e+002
+5.16628421561e+005,-1.30950508259e+002
+5.25932770886e+005,-1.38025302459e+002
+5.35404689227e+005,-1.59736027112e+002
+5.45047194461e+005,-1.60087285326e+002
+5.54863358815e+005,-1.58976321426e+002
+5.64856309846e+005,-1.29701883757e+002
+5.75029231439e+005,-1.60946199929e+002
+5.85385364818e+005,-1.60409381256e+002
+5.95928009583e+005,-1.60452605835e+002
+6.06660524757e+005,-1.29505294270e+002
+6.17586329859e+005,-1.61353278867e+002
+6.28708905992e+005,-1.61109414126e+002
+6.40031796953e+005,-1.61181311417e+002
+6.51558610364e+005,-1.30590105713e+002
+6.63293018816e+005,-1.61661924500e+002
+6.75238761044e+005,-1.61976392760e+002
+6.87399643118e+005,-1.36450186977e+002
+6.99779539652e+005,-1.33098988709e+002
+7.12382395042e+005,-1.62356504811e+002
+7.25212224722e+005,-1.62551232459e+002
+7.38273116442e+005,-1.31900541989e+002
+7.51569231572e+005,-1.62668990640e+002
+7.65104806427e+005,-1.62536974241e+002
+7.78884153618e+005,-1.32555238716e+002
+7.92911663423e+005,-1.37952183118e+002
+8.07191805189e+005,-1.39187585443e+002
+8.21729128755e+005,-1.34868603212e+002
+8.36528265901e+005,-1.39032941322e+002
+8.51593931825e+005,-1.37794414120e+002
+8.66930926644e+005,-1.34748277281e+002
+8.82544136923e+005,-1.39955048838e+002
+8.98438537235e+005,-1.36481871998e+002
+9.14619191741e+005,-1.34786417876e+002
+9.31091255809e+005,-1.40529808994e+002
+9.47859977652e+005,-1.35503610575e+002
+9.64930700003e+005,-1.35185834390e+002
+9.82308861817e+005,-1.40654269324e+002
+1.00000000000e+006,-1.35399383317e+002
