Offset Frequency (Hz),Phase Noise (dBc/Hz)
+4.47881156235e+005,-1.58264766551e+002
+4.55947384417e+005,-1.58463094872e+002
+4.64158883361e+005,-1.58664963355e+002
+4.72518269359e+005,-1.39243036202e+002
+4.81028205818e+005,-1.32552255092e+002
+4.89691404115e+005,-1.59313223270e+002
+4.98510624459e+005,-1.58427905548e+002
+5.07488676766e+005,-1.59509392534e+002
+5.16628421561e+005,-1.32360899348e+002
+5.25932770886e+005,-1.39428928933e+002
+5.35404689227e+005,-1.59536704117e+002
+5.45047194461e+005,-1.59845096919e+002
+5.54863358815e+005,-1.58576866823e+002
+5.64856309846e+005,-1.31005593462e+002
+5.75029231439e+005,-1.60550610049e+002
+5.85385364818e+005,-1.60263603486e+002
+5.95928009583e+005,-1.60869664024e+002
+6.06660524757e+005,-1.30909980156e+002
+6.17586329859e+005,-1.61045132488e+002
+6.28708905992e+005,-1.61114983737e+002
+6.40031796953e+005,-1.61285035169e+002
+6.51558610364e+005,-1.32022045435e+002
+6.63293018816e+005,-1.61533127756e+002
+6.75238761044e+005,-1.62193802770e+002
+6.87399643118e+005,-1.37805001345e+002
+6.99779539652e+005,-1.34450603554e+002
+7.12382395042e+005,-1.61831500052e+002
+7.25212224722e+005,-1.62249934073e+002
+7.38273116442e+005,-1.33172256022e+002
+7.51569231572e+005,-1.62660692831e+002
+7.65104806427e+005,-1.62718206606e+002
+7.78884153618e+005,-1.33785741530e+002
+7.92911663423e+005,-1.39161027328e+002
+8.07191805189e+005,-1.40405791442e+002
+8.21729128755e+005,-1.36100071035e+002
+8.36528265901e+005,-1.40276380713e+002
+8.51593931825e+005,-1.39100380336e+002
+8.66930926644e+005,-1.36059714833e+002
+8.82544136923e+005,-1.41276005658e+002
+8.98438537235e+005,-1.37868526229e+002
+9.14619191741e+005,-1.36177476019e+002
+9.31091255809e+005,-1.41920538971e+002
+9.47859977652e+005,-1.36893099500e+002
+9.64930700003e+005,-1.36571058773e+002
+9.82308861817e+005,-1.42004615514e+002
+1.00000000000e+006,-1.36727914203e+002
